HomeTeam,AwayTeam,era,HomeGoalsMeanL5Venuedpd,AwayGoalsMeanL5Venuedpd,HomeGoalsConcededL5Venuedpd,AwayGoalsConcededL5Venuedpd,HomeGoalDFMeanL5Venuedpd,AwayGoalDFMeanL5Venuedpd,HomePointsL5Venuedpd,AwayPointsL5Venuedpd,WinStreakL5Home,WinStreakL5Away,HomeOdds,DrawOdds,AwayOdds,HomeProb,DrawProb,AwayProb,MatchBalance,HomeGoalsConcededL5,HomeGoalsMeanL5,HomeShotsOTMeanL10,HomeGoalDFMeanL10,HomeGoalDFMeanL5,HomePointsMeanL5,HomePointsMeanL10,HomeGoalsMeanL10,HomeGoalsConcededL10,Homewin_streak,HomeH2HL5,HomeRedCardL2,AwayGoalsConcededL5,AwayGoalsMeanL5,AwayShotsOTMeanL10,AwayGoalDFMeanL10,AwayGoalDFMeanL5,AwayPointsMeanL5,AwayPointsMeanL10,AwayGoalsMeanL10,AwayGoalsConcededL10,Awaywin_streak,AwayH2HL5,AwayRedCardL2,HomeAttackVsAwayDefense,AwayAttackVsHomeDefense,GoalFormDiffL5,FormDiff
Villarreal,Valencia,16,2.6,0.2,0.2,2.6,2.4,0.4,3.0,1.8,6,0,2.0,3.5,3.6,0.4701492537313433,0.26865671641791045,0.2611940298507463,0.208955223880597,1.4,2.0,6.5,1.2,0.6,1.6,2.3,2.2,1.0,0,2.0,0.0,1.4,1.0,4.3,0.3,-0.4,0.8,1.7,1.3,1.0,1,0.8,0.5,0.6000000000000001,-0.3999999999999999,1.0,0.8
Sociedad,Ath Madrid,0,1.4,0.4,0.4,1.4,1.0,-1.0,2.4,0.8,3,0,2.75,3.3,2.5,0.34090909090909083,0.28409090909090906,0.37499999999999994,0.034090909090909116,1.0,1.6,3.5,-0.1,0.6,1.8,1.3,1.3,1.4,0,1.75,0.0,1.0,1.2,4.5,0.0,0.2,1.4,1.4,1.2,1.2,1,1.0,0.0,0.6000000000000001,0.19999999999999996,0.39999999999999997,0.40000000000000013
Sevilla,Mallorca,0,2.0,1.0,1.0,2.0,1.0,-1.0,2.2,0.8,3,0,1.67,3.75,5.0,0.562008242787561,0.2502810041213938,0.18771075309104535,0.37429748969651566,2.2,1.6,6.1,-0.2,-0.6,1.8,1.7,1.4,1.6,2,2.6,0.5,1.2,1.2,3.8,-0.1,0.0,1.4,1.4,1.1,1.2,0,0.2,0.0,0.40000000000000013,-1.0000000000000002,-0.6,0.40000000000000013
Osasuna,Sp Gijon,0,2.0,0.4,0.4,2.0,1.6,-1.6,2.2,0.4,2,0,1.83,3.4,4.5,0.5141647343482205,0.27674160701683637,0.209093658634943,0.3050710757132775,1.4,1.4,4.4,-0.2,0.0,1.4,1.1,1.1,1.3,0,0.75,0.5,1.2,0.8,3.8,-0.3,-0.4,1.0,1.0,1.0,1.3,0,2.25,0.5,0.19999999999999996,-0.5999999999999999,0.4,0.3999999999999999
La Coruna,Malaga,0,1.0,0.8,0.8,1.0,0.2,0.0,1.2,1.4,1,0,2.25,3.25,3.2,0.41746111389864526,0.28901154039136984,0.29352734570998495,0.12393376818866031,0.8,1.0,5.3,-0.7,0.2,1.6,1.0,0.8,1.5,0,2.2,0.0,2.0,0.6,4.2,-0.5,-1.4,0.6,1.0,1.4,1.9,1,0.4,0.0,-1.0,-0.20000000000000007,1.5999999999999999,1.0
Levante,Santander,0,1.0,1.8,1.8,1.0,-0.8,-1.8,0.8,0.2,0,0,2.38,3.25,3.0,0.39593908629441626,0.2899492385786802,0.3141116751269035,0.08182741116751274,1.6,1.0,2.0,-0.6,-0.6,0.6,0.8,0.9,1.5,0,1.75,0.0,1.6,1.2,5.5,-0.4,-0.4,1.4,1.1,0.9,1.3,0,1.0,0.0,-0.6000000000000001,-0.40000000000000013,-0.19999999999999996,-0.7999999999999999
Getafe,Zaragoza,0,2.2,1.2,1.2,2.2,1.0,-0.8,1.8,0.4,0,0,1.8,3.5,4.5,0.5223880597014926,0.26865671641791045,0.208955223880597,0.3134328358208956,2.0,0.8,5.2,-0.1,-1.2,0.6,1.3,1.4,1.5,0,0.6,0.5,1.8,1.2,4.1,-0.8,-0.6,0.8,0.6,1.1,1.9,0,1.8,0.0,-1.0,-0.8,-0.6,-0.20000000000000007
Ath Madrid,Espanol,0,1.6,0.6,0.6,1.6,1.0,-1.2,2.0,0.8,1,0,1.62,3.6,6.0,0.5813953488372092,0.2616279069767442,0.15697674418604649,0.42441860465116277,1.4,1.6,4.8,0.1,0.2,1.4,1.4,1.4,1.3,2,2.4,0.0,0.8,1.2,5.1,0.1,0.4,2.0,1.9,0.9,0.8,1,0.6,0.0,0.8,-0.19999999999999996,-0.2,-0.6000000000000001
Sevilla,Getafe,0,2.2,1.4,1.4,2.2,0.8,-1.2,2.0,0.8,0,0,1.67,3.75,5.0,0.562008242787561,0.2502810041213938,0.18771075309104535,0.37429748969651566,2.2,1.8,5.3,-0.3,-0.4,1.8,1.6,1.5,1.8,0,0.6,0.5,1.8,1.0,4.5,-0.4,-0.8,0.8,1.1,1.1,1.5,0,2.4,0.0,0.0,-1.2000000000000002,0.4,1.0
Zaragoza,Villarreal,0,1.2,1.6,1.6,1.2,-0.4,0.0,1.0,1.6,0,0,3.25,3.25,2.2,0.2875816993464052,0.2875816993464052,0.4248366013071895,0.13725490196078427,1.6,1.2,3.5,-0.6,-0.4,1.0,0.7,0.9,1.5,0,1.4,0.5,1.2,1.8,6.6,0.8,0.6,1.6,2.1,1.9,1.1,0,1.4,0.0,0.0,0.19999999999999996,-1.0,-0.6000000000000001
