Season,Date,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeCorners,AwayCorners,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,HomeOdds,DrawOdds,AwayOdds
506,18/09/05,Ath Bilbao,Malaga,1,2,A,0,0,D,14,9,6,4,1,2,16,14,2,3,0,0,1.72,3.3,5.0
506,18/09/05,Ath Madrid,Barcelona,2,1,H,1,1,D,16,18,6,4,5,7,22,17,2,2,1,0,3.75,3.2,2.0
506,18/09/05,Betis,Zaragoza,0,0,D,0,0,D,16,10,4,6,4,2,23,21,2,5,0,0,1.8,3.3,4.5
506,18/09/05,Cadiz,Villarreal,1,1,D,1,1,D,9,9,6,3,5,2,19,25,1,4,0,0,3.0,3.2,2.3
506,18/09/05,Celta,Santander,0,1,A,0,0,D,15,12,2,5,6,3,15,28,1,7,0,0,1.8,3.4,4.5
506,18/09/05,Espanol,Real Madrid,1,0,H,0,0,D,13,28,2,5,4,8,16,16,2,2,0,2,4.0,3.3,1.9
506,18/09/05,Osasuna,Sevilla,1,0,H,0,0,D,10,15,5,2,1,7,21,26,3,4,1,1,2.5,3.2,2.75
506,21/09/05,Barcelona,Valencia,2,2,D,1,0,H,10,5,5,4,7,0,30,25,3,2,0,0,1.57,3.6,6.0
506,21/09/05,Getafe,Mallorca,1,1,D,1,0,H,16,12,5,3,3,4,24,17,3,2,0,0,1.9,3.25,4.0
506,21/09/05,La Coruna,Betis,1,1,D,1,1,D,17,11,6,3,5,1,21,19,5,5,0,0,2.0,3.3,3.5
506,21/09/05,Malaga,Alaves,0,0,D,0,0,D,13,6,4,1,4,5,25,14,2,2,1,0,1.83,3.3,4.33
506,21/09/05,Santander,Espanol,1,0,H,0,0,D,13,11,7,3,7,4,19,19,3,5,0,1,2.3,3.25,2.87
506,21/09/05,Sevilla,Cadiz,0,0,D,0,0,D,25,3,4,1,14,6,20,17,3,6,0,0,1.57,3.6,6.0
506,21/09/05,Sociedad,Ath Madrid,3,2,H,0,2,A,21,14,9,6,7,4,16,25,2,3,0,0,2.37,3.2,2.8
506,21/09/05,Villarreal,Celta,1,2,A,0,1,A,14,11,4,5,3,5,17,16,1,2,0,0,1.66,3.6,5.0
506,21/09/05,Zaragoza,Osasuna,3,1,H,0,0,D,22,6,11,3,3,1,20,17,2,3,0,0,1.8,3.25,4.33
506,22/09/05,Real Madrid,Ath Bilbao,3,1,H,0,1,A,16,21,9,5,6,4,19,20,1,5,1,0,1.44,4.0,7.5
506,24/09/05,Ath Madrid,Getafe,0,1,A,0,0,D,12,12,4,4,8,2,21,27,3,4,0,1,1.66,3.4,5.5
506,24/09/05,Betis,Barcelona,1,4,A,1,1,D,9,23,5,10,1,7,19,17,4,2,1,0,3.4,3.25,2.1
506,24/09/05,Espanol,Villarreal,1,2,A,0,1,A,9,13,3,4,8,3,9,12,1,1,0,0,2.3,3.2,3.0
506,24/09/05,Valencia,Sociedad,2,1,H,1,0,H,11,11,8,4,5,8,20,12,2,1,0,0,1.5,3.75,7.0
506,24/09/05,Zaragoza,La Coruna,1,1,D,1,1,D,15,16,7,5,8,7,22,15,2,1,0,0,2.4,3.25,2.8
506,25/09/05,Alaves,Real Madrid,0,3,A,0,0,D,17,20,6,7,7,10,17,24,1,3,0,0,6.0,3.4,1.61
506,25/09/05,Ath Bilbao,Santander,0,0,D,0,0,D,17,5,3,1,17,5,16,29,3,6,0,0,1.72,3.3,5.0
506,25/09/05,Celta,Sevilla,2,1,H,2,0,H,12,9,5,3,4,6,22,24,2,5,0,0,2.2,3.2,3.25
506,25/09/05,Mallorca,Malaga,1,4,A,0,2,A,14,9,7,5,8,2,24,22,0,1,0,0,2.1,3.25,3.4
506,25/09/05,Osasuna,Cadiz,2,0,H,1,0,H,19,3,7,0,5,5,27,13,4,2,0,0,1.9,3.25,4.0
506,01/10/05,Barcelona,Zaragoza,2,2,D,0,0,D,22,7,7,3,1,2,16,23,4,3,0,1,1.33,4.5,9.5
506,01/10/05,Getafe,Valencia,2,1,H,1,1,D,12,9,6,2,2,0,25,24,1,4,0,1,2.6,3.2,2.62
506,02/10/05,Cadiz,Celta,1,1,D,1,1,D,11,8,6,5,3,3,26,18,2,4,0,0,2.5,3.2,2.75
506,02/10/05,La Coruna,Osasuna,0,1,A,0,1,A,12,7,1,4,2,5,24,25,1,3,0,0,1.66,3.4,5.5
506,02/10/05,Malaga,Ath Madrid,0,2,A,0,1,A,7,14,2,7,4,6,19,20,3,4,0,0,2.4,3.25,2.8
506,02/10/05,Real Madrid,Mallorca,4,0,H,2,0,H,16,11,8,3,9,5,17,18,0,2,0,1,1.25,5.0,13.0
506,02/10/05,Santander,Alaves,1,2,A,0,1,A,9,9,4,3,6,2,26,9,3,1,0,0,1.9,3.25,4.0
506,02/10/05,Sevilla,Espanol,1,1,D,0,1,A,12,8,3,3,9,2,13,11,3,1,0,0,1.9,3.25,4.0
506,02/10/05,Sociedad,Betis,1,1,D,0,1,A,16,11,5,3,4,5,14,25,2,2,0,0,2.5,3.2,2.75
506,02/10/05,Villarreal,Ath Bilbao,3,1,H,1,1,D,19,10,6,5,7,2,11,15,3,3,0,1,1.83,3.3,4.33
506,15/10/05,Alaves,Villarreal,1,1,D,1,1,D,12,9,4,4,12,2,16,18,2,5,0,0,2.62,3.2,2.37
506,15/10/05,Ath Madrid,Real Madrid,0,3,A,0,1,A,15,14,3,7,7,5,16,16,5,2,1,0,3.0,3.25,2.1
506,15/10/05,La Coruna,Barcelona,3,3,D,1,2,A,9,13,4,6,2,3,19,18,4,4,0,0,3.0,3.25,2.1
506,16/10/05,Ath Bilbao,Sevilla,0,1,A,0,1,A,21,10,3,3,6,3,9,17,1,2,1,0,2.2,3.25,2.8
506,16/10/05,Betis,Getafe,1,0,H,1,0,H,13,13,3,6,4,5,26,19,2,4,0,1,1.8,3.25,4.0
506,16/10/05,Espanol,Cadiz,0,2,A,0,0,D,7,8,1,4,4,4,18,18,1,3,1,0,1.72,3.25,4.33
506,16/10/05,Mallorca,Santander,0,0,D,0,0,D,13,7,3,4,9,0,23,21,2,7,0,0,2.2,3.25,2.8
506,16/10/05,Osasuna,Celta,2,0,H,0,0,D,10,14,4,3,3,7,25,17,4,2,0,0,2.1,3.25,3.0
506,16/10/05,Valencia,Malaga,2,1,H,1,0,H,15,11,7,4,9,4,21,23,3,2,0,0,1.57,3.6,5.0
506,16/10/05,Zaragoza,Sociedad,0,1,A,0,1,A,17,7,2,3,11,5,14,16,2,1,0,1,1.72,3.25,4.33
506,22/10/05,Barcelona,Osasuna,3,0,H,0,0,D,24,6,10,1,7,2,10,21,1,4,0,0,1.36,4.33,9.0
506,22/10/05,Sevilla,Alaves,2,0,H,1,0,H,13,8,5,3,6,3,21,19,2,7,0,0,1.72,3.4,5.0
506,23/10/05,Cadiz,Ath Bilbao,1,0,H,1,0,H,11,12,2,0,3,1,20,10,3,0,0,0,2.25,3.2,3.1
506,23/10/05,Celta,Espanol,1,0,H,0,0,D,19,12,5,4,3,1,18,21,3,4,0,1,2.0,3.3,3.6
506,23/10/05,Getafe,Zaragoza,5,2,H,4,0,H,14,14,8,6,5,7,15,24,2,5,0,0,2.2,3.2,3.25
506,23/10/05,Malaga,Betis,5,0,H,2,0,H,17,10,9,4,7,4,26,14,1,1,0,0,2.4,3.25,2.8
506,23/10/05,Real Madrid,Valencia,1,2,A,1,2,A,15,16,3,6,6,6,20,23,4,3,2,0,1.66,3.4,5.5
506,23/10/05,Santander,Ath Madrid,0,1,A,0,1,A,8,12,3,5,10,4,20,20,2,2,0,0,2.6,3.2,2.62
506,23/10/05,Sociedad,La Coruna,2,0,H,0,0,D,16,13,9,1,5,4,26,14,2,2,0,0,2.4,3.25,2.8
506,23/10/05,Villarreal,Mallorca,3,0,H,3,0,H,18,13,7,2,4,6,13,16,1,1,0,0,1.57,3.6,6.0
506,26/10/05,Barcelona,Malaga,2,0,H,0,0,D,36,4,20,1,12,2,6,24,0,5,0,0,1.25,5.0,13.0
506,26/10/05,Betis,Villarreal,2,3,A,1,1,D,10,4,4,4,2,2,10,8,4,4,1,0,2.25,3.2,3.1
506,26/10/05,La Coruna,Real Madrid,3,1,H,2,0,H,21,7,5,4,5,3,21,20,3,3,0,0,2.87,3.25,2.37
506,26/10/05,Mallorca,Celta,1,0,H,0,0,D,15,8,5,2,5,4,23,22,3,1,0,1,2.5,3.2,2.75
506,26/10/05,Osasuna,Ath Bilbao,3,2,H,1,1,D,11,16,7,2,2,2,21,19,4,1,0,0,1.9,3.25,4.0
506,27/10/05,Alaves,Espanol,1,1,D,1,1,D,12,12,9,6,10,10,19,12,3,3,1,0,2.3,3.25,3.0
506,27/10/05,Ath Madrid,Cadiz,3,0,H,1,0,H,20,7,10,2,9,5,21,13,3,2,0,0,1.72,3.4,5.0
506,27/10/05,Sociedad,Getafe,3,0,H,3,0,H,11,18,5,8,6,10,18,21,0,2,0,0,2.1,3.25,3.4
506,27/10/05,Valencia,Sevilla,0,2,A,0,1,A,24,4,6,2,10,2,16,16,1,0,0,0,1.66,3.4,5.5
506,27/10/05,Zaragoza,Santander,1,1,D,1,0,H,14,6,3,1,5,3,18,25,2,6,0,0,1.83,3.3,4.33
506,29/10/05,Ath Bilbao,Celta,1,1,D,1,0,H,14,11,3,4,6,3,25,13,2,2,0,0,2.25,3.25,2.75
506,29/10/05,Betis,Real Madrid,0,2,A,0,1,A,11,6,1,3,4,4,21,24,2,2,0,0,2.8,3.25,2.2
506,30/10/05,Alaves,Cadiz,0,0,D,0,0,D,10,7,6,3,4,0,25,19,1,2,0,0,2.2,3.25,2.8
506,30/10/05,Ath Madrid,Villarreal,1,1,D,1,0,H,16,7,5,2,8,2,26,18,6,4,1,1,2.2,3.25,2.8
506,30/10/05,Barcelona,Sociedad,5,0,H,2,0,H,21,2,8,1,4,5,13,9,1,3,0,1,1.33,4.33,7.5
506,30/10/05,La Coruna,Getafe,1,0,H,1,0,H,12,16,5,3,1,2,28,17,3,4,0,0,1.8,3.25,4.0
506,30/10/05,Mallorca,Sevilla,1,1,D,1,1,D,8,19,2,7,3,2,22,15,2,2,1,0,2.5,3.2,2.5
506,30/10/05,Osasuna,Espanol,2,0,H,1,0,H,16,7,7,0,5,4,18,20,2,6,0,1,1.83,3.25,3.75
506,30/10/05,Valencia,Santander,1,1,D,1,1,D,10,5,4,4,9,1,14,31,2,1,0,1,1.4,4.0,6.5
506,30/10/05,Zaragoza,Malaga,1,1,D,1,1,D,16,9,8,2,9,1,19,22,2,2,0,0,2.0,3.25,3.25
506,05/11/05,Espanol,Ath Bilbao,1,1,D,0,1,A,13,9,6,3,4,3,18,25,2,1,0,0,2.1,3.25,3.4
506,05/11/05,Sociedad,Osasuna,1,2,A,1,1,D,15,17,5,5,3,3,22,25,1,4,0,0,2.1,3.25,3.0
506,05/11/05,Villarreal,Valencia,1,0,H,1,0,H,15,13,4,6,1,6,17,22,1,1,0,0,2.37,3.2,2.87
506,06/11/05,Cadiz,Mallorca,1,2,A,1,1,D,9,9,4,4,7,3,15,21,3,3,0,1,2.0,3.25,3.25
506,06/11/05,Celta,Alaves,2,1,H,1,0,H,14,9,9,2,6,4,22,14,3,2,0,0,1.72,3.25,4.33
506,06/11/05,Getafe,Barcelona,1,3,A,0,1,A,7,10,3,7,5,4,20,10,1,0,0,0,4.5,3.6,1.72
506,06/11/05,Malaga,La Coruna,1,1,D,0,0,D,11,12,1,4,4,2,23,17,0,3,0,0,2.4,3.2,2.6
506,06/11/05,Real Madrid,Zaragoza,1,0,H,0,0,D,13,14,5,4,6,1,14,22,2,5,0,0,1.36,4.33,9.0
506,06/11/05,Santander,Betis,1,1,D,0,1,A,14,8,5,2,6,7,24,27,3,2,0,0,2.3,3.25,2.75
506,06/11/05,Sevilla,Ath Madrid,0,0,D,0,0,D,14,12,6,3,7,4,21,18,0,3,0,0,2.0,3.25,3.4
506,19/11/05,Getafe,Osasuna,0,0,D,0,0,D,13,9,4,2,4,2,17,26,2,2,0,0,2.25,3.0,3.0
506,19/11/05,Real Madrid,Barcelona,0,3,A,0,1,A,5,20,2,7,3,6,25,16,6,2,0,0,2.37,3.2,2.62
506,19/11/05,Sevilla,Betis,1,0,H,0,0,D,9,8,2,3,7,4,23,24,4,7,2,0,2.0,3.0,3.5
506,19/11/05,Villarreal,Zaragoza,0,0,D,0,0,D,10,11,3,3,6,2,19,19,2,3,0,0,1.72,3.25,4.33
506,20/11/05,Ath Bilbao,Alaves,0,2,A,0,1,A,18,11,5,7,11,1,20,18,3,3,0,0,1.83,3.25,3.75
506,20/11/05,Cadiz,Valencia,0,1,A,0,0,D,11,6,4,2,10,11,17,26,4,6,1,1,2.8,3.2,2.25
506,20/11/05,Celta,Ath Madrid,2,1,H,1,0,H,10,18,4,8,3,11,28,17,2,2,0,0,2.25,3.25,2.75
506,20/11/05,Espanol,Mallorca,2,0,H,2,0,H,13,9,6,1,4,4,26,25,3,5,0,1,2.0,3.25,3.25
506,20/11/05,Malaga,Sociedad,3,1,H,0,0,D,14,13,7,3,7,7,26,11,2,2,0,0,2.2,3.2,2.87
506,20/11/05,Santander,La Coruna,0,3,A,0,1,A,17,9,7,3,4,4,23,31,1,1,0,0,2.6,3.2,2.4
506,26/11/05,Mallorca,Ath Bilbao,0,1,A,0,0,D,12,6,4,1,4,3,22,21,1,3,0,0,2.2,3.25,3.2
506,26/11/05,Valencia,Celta,2,0,H,0,0,D,15,11,7,3,9,6,16,16,1,2,0,0,1.72,3.4,5.0
506,27/11/05,Ath Madrid,Espanol,1,1,D,1,1,D,16,19,5,7,5,7,22,22,4,4,0,0,1.72,3.4,5.0
506,27/11/05,Barcelona,Santander,4,1,H,1,0,H,25,3,7,1,8,0,13,30,1,2,0,1,1.16,6.5,15.0
506,27/11/05,Betis,Cadiz,1,1,D,1,0,H,12,14,5,5,4,5,18,8,4,2,1,0,1.8,3.3,4.5
506,27/11/05,Getafe,Malaga,3,2,H,2,1,H,17,10,6,4,9,8,16,30,0,2,0,0,2.0,3.2,3.75
506,27/11/05,La Coruna,Villarreal,0,2,A,0,0,D,17,17,3,10,7,6,32,22,4,2,0,0,2.1,3.2,3.5
506,27/11/05,Osasuna,Alaves,3,2,H,0,0,D,15,7,7,5,9,1,26,21,1,2,0,0,1.61,3.6,5.5
506,27/11/05,Sociedad,Real Madrid,2,2,D,1,0,H,11,20,5,10,4,5,27,15,4,5,1,1,3.4,3.25,2.1
506,27/11/05,Zaragoza,Sevilla,0,2,A,0,0,D,15,17,2,8,5,5,19,5,4,0,1,0,2.37,3.2,2.9
506,03/12/05,Ath Bilbao,Ath Madrid,1,1,D,0,1,A,14,6,3,1,9,3,14,23,4,3,0,0,2.3,3.2,2.7
506,03/12/05,Celta,Betis,2,1,H,2,0,H,9,23,4,4,5,11,29,21,5,4,0,1,1.8,3.25,4.0
506,03/12/05,Real Madrid,Getafe,1,0,H,1,0,H,6,19,1,4,3,13,17,24,3,3,1,0,1.4,3.75,7.5
506,04/12/05,Alaves,Mallorca,0,3,A,0,1,A,18,13,3,10,10,5,15,24,4,4,0,0,2.1,3.25,3.0
506,04/12/05,Cadiz,Zaragoza,1,2,A,1,0,H,4,6,1,2,3,4,15,20,2,4,0,0,2.3,3.1,2.87
506,04/12/05,Espanol,Valencia,1,3,A,0,2,A,15,18,2,9,4,4,23,15,3,2,0,1,2.62,3.2,2.37
506,04/12/05,Malaga,Osasuna,1,2,A,1,2,A,9,11,2,4,7,4,26,14,3,2,0,0,2.4,3.2,2.6
506,04/12/05,Santander,Sociedad,2,2,D,0,1,A,14,17,4,9,4,3,24,17,3,5,0,1,2.37,3.2,2.62
506,04/12/05,Sevilla,La Coruna,0,2,A,0,2,A,13,11,3,6,12,6,26,15,7,6,2,0,2.0,3.25,3.25
506,04/12/05,Villarreal,Barcelona,0,2,A,0,1,A,6,11,1,4,5,5,19,24,2,4,0,1,3.75,3.25,1.83
506,10/12/05,Sociedad,Villarreal,1,3,A,1,1,D,16,14,6,8,5,1,15,17,1,2,0,0,2.6,3.2,2.62
506,10/12/05,Valencia,Ath Bilbao,1,1,D,0,0,D,23,6,8,2,10,4,16,21,1,2,0,1,1.5,3.75,7.0
506,11/12/05,Ath Madrid,Alaves,1,1,D,0,0,D,21,11,2,6,12,3,17,17,2,2,0,0,1.57,3.5,6.5
506,11/12/05,Barcelona,Sevilla,2,1,H,0,0,D,14,7,3,2,7,1,24,19,4,2,0,0,1.3,5.0,9.5
506,11/12/05,Betis,Espanol,0,0,D,0,0,D,20,6,3,1,9,0,10,12,1,2,0,0,2.1,3.2,3.5
506,11/12/05,Getafe,Santander,1,2,A,1,1,D,10,7,3,4,10,1,20,21,3,5,0,0,1.8,3.3,4.5
506,11/12/05,La Coruna,Cadiz,1,0,H,0,0,D,20,8,6,4,5,5,23,18,1,2,0,0,1.57,3.5,6.5
506,11/12/05,Malaga,Real Madrid,0,2,A,0,2,A,22,17,8,7,7,3,37,11,5,1,0,0,4.5,3.25,1.83
506,11/12/05,Osasuna,Mallorca,1,0,H,1,0,H,20,9,6,3,6,4,20,15,2,2,0,0,1.57,3.6,6.0
506,11/12/05,Zaragoza,Celta,1,0,H,0,0,D,23,4,9,4,12,2,19,13,1,3,0,0,2.37,3.25,2.87
506,17/12/05,Ath Bilbao,Betis,2,0,H,2,0,H,12,9,2,3,4,2,20,23,1,1,0,1,2.2,3.0,3.5
506,17/12/05,Cadiz,Barcelona,1,3,A,0,2,A,12,19,1,9,4,8,13,17,2,1,0,0,9.0,4.33,1.36
506,17/12/05,Celta,La Coruna,0,3,A,0,3,A,6,7,1,5,7,2,16,23,3,3,1,0,2.37,3.0,3.1
506,18/12/05,Alaves,Valencia,0,1,A,0,1,A,12,14,3,3,7,5,18,19,5,2,0,0,4.2,3.2,1.9
506,18/12/05,Espanol,Zaragoza,2,2,D,0,0,D,13,15,4,6,4,3,27,14,4,2,0,0,2.2,3.2,3.25
506,18/12/05,Mallorca,Ath Madrid,2,2,D,1,2,A,8,11,4,4,7,4,19,17,4,5,1,1,2.5,3.1,2.8
506,18/12/05,Real Madrid,Osasuna,1,1,D,0,0,D,15,10,6,1,7,3,23,21,6,5,0,1,1.5,3.75,7.0
506,18/12/05,Santander,Malaga,1,1,D,1,1,D,16,10,5,5,8,5,20,21,3,6,3,2,2.25,3.1,3.2
506,18/12/05,Sevilla,Sociedad,3,2,H,0,1,A,29,9,8,2,6,2,20,17,4,6,0,2,1.72,3.4,5.0
506,18/12/05,Villarreal,Getafe,2,1,H,1,1,D,18,13,9,5,6,4,16,23,2,2,0,0,1.57,3.5,6.5
506,20/12/05,Barcelona,Celta,2,0,H,1,0,H,15,4,7,2,6,1,15,26,1,3,0,0,1.22,5.5,13.0
506,21/12/05,Betis,Alaves,3,0,H,1,0,H,15,12,8,3,3,1,27,21,2,3,0,0,1.83,3.3,4.33
506,21/12/05,Getafe,Sevilla,1,0,H,1,0,H,17,11,3,4,3,6,24,20,3,2,1,0,2.5,3.25,2.7
506,21/12/05,La Coruna,Espanol,1,2,A,0,0,D,14,9,6,3,12,2,20,16,3,4,0,1,1.57,3.6,6.0
506,21/12/05,Malaga,Villarreal,0,0,D,0,0,D,8,12,4,6,3,2,30,16,5,2,0,0,3.1,3.2,2.25
506,21/12/05,Real Madrid,Santander,1,2,A,0,2,A,19,9,5,4,6,4,20,10,3,3,0,0,1.25,5.0,13.0
506,21/12/05,Sociedad,Cadiz,2,0,H,1,0,H,20,8,6,5,9,4,19,24,1,3,0,1,1.83,3.3,4.33
506,21/12/05,Valencia,Mallorca,3,0,H,0,0,D,17,6,6,0,9,4,12,16,0,1,0,0,1.44,4.0,7.5
506,21/12/05,Zaragoza,Ath Bilbao,3,2,H,0,1,A,12,8,4,4,3,2,14,18,2,1,0,0,2.0,3.2,3.75
506,22/12/05,Osasuna,Ath Madrid,2,1,H,2,1,H,24,5,8,1,5,1,18,16,1,2,0,0,1.9,3.25,4.0
506,07/01/06,Ath Bilbao,La Coruna,1,2,A,0,1,A,18,13,5,3,6,2,21,25,1,5,0,0,2.6,3.2,2.62
506,07/01/06,Espanol,Barcelona,1,2,A,0,1,A,9,19,3,7,5,6,29,20,6,3,0,0,7.5,4.0,1.44
506,08/01/06,Alaves,Zaragoza,0,2,A,0,0,D,15,15,5,4,5,0,14,14,0,3,0,0,2.6,3.2,2.62
506,08/01/06,Ath Madrid,Valencia,0,0,D,0,0,D,14,9,2,5,5,10,27,21,2,0,0,0,3.0,3.2,2.3
506,08/01/06,Cadiz,Getafe,1,0,H,1,0,H,13,8,6,1,2,2,22,21,4,5,1,1,2.37,3.2,2.9
506,08/01/06,Celta,Sociedad,1,0,H,1,0,H,15,5,3,1,2,1,20,14,1,1,0,0,1.9,3.25,4.0
506,08/01/06,Mallorca,Betis,1,1,D,1,1,D,10,9,7,5,4,7,17,20,1,3,0,0,2.3,3.2,3.0
506,08/01/06,Osasuna,Santander,1,1,D,1,1,D,17,6,3,1,3,1,21,21,2,2,0,0,1.61,3.4,6.0
506,08/01/06,Sevilla,Malaga,3,1,H,1,0,H,19,8,7,3,10,2,19,19,6,2,0,1,1.7,3.5,5.0
506,08/01/06,Villarreal,Real Madrid,0,0,D,0,0,D,15,14,5,3,3,5,15,19,3,3,0,0,2.5,3.2,2.75
506,14/01/06,Betis,Ath Madrid,1,0,H,1,0,H,11,15,6,3,5,4,23,23,2,2,0,0,2.2,3.25,3.2
506,14/01/06,Valencia,Osasuna,2,0,H,1,0,H,15,12,4,5,8,8,13,21,3,1,0,0,1.72,3.4,5.0
506,15/01/06,Barcelona,Ath Bilbao,2,1,H,1,1,D,16,8,9,2,7,5,18,24,2,4,1,0,1.16,6.5,15.0
506,15/01/06,Getafe,Celta,1,1,D,1,0,H,24,12,6,3,9,4,23,22,1,2,0,0,2.2,3.25,3.2
506,15/01/06,La Coruna,Alaves,0,2,A,0,1,A,28,12,6,5,9,1,21,25,1,2,0,0,1.44,4.0,7.5
506,15/01/06,Malaga,Cadiz,0,2,A,0,2,A,5,6,1,2,2,2,14,13,5,1,1,0,1.9,3.3,4.0
506,15/01/06,Real Madrid,Sevilla,4,2,H,1,0,H,25,17,8,5,3,7,18,18,1,1,0,0,1.61,3.6,5.5
506,15/01/06,Santander,Villarreal,1,0,H,1,0,H,8,21,4,6,1,5,22,15,3,4,2,1,3.0,3.2,2.3
506,15/01/06,Sociedad,Espanol,0,1,A,0,0,D,14,12,2,5,6,2,22,20,3,2,0,1,2.0,3.3,3.6
506,15/01/06,Zaragoza,Mallorca,3,1,H,2,0,H,13,9,5,5,2,4,18,23,1,2,0,0,1.72,3.4,5.0
506,21/01/06,Real Madrid,Cadiz,3,1,H,0,0,D,10,15,5,4,8,9,26,18,4,1,0,0,1.25,5.0,13.0
506,21/01/06,Zaragoza,Ath Madrid,0,2,A,0,1,A,8,5,3,3,4,3,18,24,3,5,0,0,2.1,3.25,3.4
506,22/01/06,Barcelona,Alaves,2,0,H,0,0,D,25,3,7,1,7,5,23,19,1,2,0,0,1.14,6.5,21.0
506,22/01/06,Betis,Valencia,0,2,A,0,1,A,14,13,4,7,4,2,20,24,1,2,0,0,2.9,3.2,2.37
506,22/01/06,Getafe,Espanol,5,0,H,2,0,H,12,14,6,3,6,5,26,18,1,3,0,0,2.25,3.2,3.1
506,22/01/06,La Coruna,Mallorca,2,2,D,2,0,H,14,10,2,3,4,2,21,29,3,3,0,0,1.44,4.0,7.5
506,22/01/06,Malaga,Celta,0,2,A,0,0,D,15,14,3,5,6,7,26,14,2,1,0,0,2.5,3.2,2.75
506,22/01/06,Santander,Sevilla,2,3,A,1,1,D,17,9,6,4,6,3,21,26,3,3,0,0,2.6,3.2,2.62
506,22/01/06,Sociedad,Ath Bilbao,3,3,D,2,0,H,12,26,6,8,2,12,22,14,3,3,0,0,2.2,3.2,3.25
506,22/01/06,Villarreal,Osasuna,2,1,H,0,1,A,12,9,5,1,7,3,14,28,4,3,0,0,1.8,3.4,4.33
